what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702538254
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702541530
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702541702
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702544526
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702634678
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702636987
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1484702645614
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702695840
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702710161
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702712002
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702714045
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1484702714123
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1484702714139
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1484702714139
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484702714248
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1484702714513
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1484702714529
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1484702714545
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1484702714560
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1484702714576
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1484702714576
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1484702714576
