what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484703565013
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1484703777766
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484703783429
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484703793058
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1484703793417
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1484703793479
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484703840950
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484703841169
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484703913288
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484703913522
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1484703933318
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1484703933802
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1484703934488
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1484703935627
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484704543009
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484704979643
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1484706060550
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484706069599
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484706080721
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1484706081049
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1484706081111
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1484706353878
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1484706360679
started,bundle,org.eclipse.jst.server.core,1.1.3.v20090115,org.eclipse.jst.server.core,1484706411161
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484706411192
