what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1484374498032
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484374505817
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484374534037
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1484374534146
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1484374534209
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484374828769
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484374832528
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1484375144310
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484375607631
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484375611531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484375798685
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484375801196
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484376181306
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484376183849
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1484376183912
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1484376183943
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1484376183958
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484376184099
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1484376184504
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1484376184520
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1484376184567
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1484376184567
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1484376184567
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1484376184582
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1484376184582
