what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1484244842445
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1484244843319
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1484244846049
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484244907045
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484244910461
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484244910571
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484244911756
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1484244914315
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1484244923677
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484244935579
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484244937701
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1484244939136
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484244952351
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484244953256
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1484244953303
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1484244953319
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1484244953350
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1484244953537
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1484244953724
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1484244953724
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1484244953724
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1484244953724
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1484244953724
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1484244953724
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1484244953724
